"V1","V2"
"KCNJ12",1.30456378665123,0
"KCNH2",0.487216303234201,0.141977315180258
"KCNQ1",1.13515093177983,0.466995910436632
"SCN5A",0.771665535034669,0.421626134611927
"KCNA4",8.15857712352706,0
"CACNA1C",0.689786409687456,1.45343723476296
"SLC8A1",1.79211583597478,0.822127120626287
"ATP1A1",0.554626128951677,0.562787000278033
"ATP2B4",0.757818906353845,1.16340915646667
"ATP2A2",0.553459840231025,0.450474572128039
"CALM1",0.77316820301393,0.499589695744989
"RYR2",0.502021936557753,0.560491291667808
"CAMK2D",0.50293248227457,0.384712360968349
